iter	Passed	Remaining
0	2	202
1	3	179
2	5	180
3	7	168
4	8	163
5	10	158
6	11	156
7	13	155
8	14	150
9	16	147
10	18	145
11	19	144
12	21	144
13	23	145
14	25	145
15	27	145
16	29	143
17	31	141
18	32	140
19	34	138
20	36	136
21	37	134
22	39	131
23	41	130
24	42	127
25	44	125
26	45	123
27	46	120
28	48	118
29	49	116
30	51	114
31	53	112
32	54	110
33	56	109
34	57	107
35	59	105
36	60	103
37	62	101
38	63	99
39	65	98
40	66	96
41	67	93
42	69	91
43	70	90
44	72	88
45	74	86
46	75	85
47	77	83
48	78	81
49	80	80
50	81	78
51	83	77
52	84	75
53	86	73
54	87	71
55	88	69
56	90	68
57	92	66
58	93	65
59	94	63
60	96	61
61	97	59
62	99	58
63	101	56
64	102	55
65	103	53
66	105	51
67	106	50
68	108	48
69	109	47
70	111	45
71	112	43
72	114	42
73	115	40
74	117	39
75	119	37
76	120	36
77	121	34
78	123	32
79	124	31
80	125	29
81	127	28
82	129	26
83	131	24
84	132	23
85	143	23
86	144	21
87	146	19
88	147	18
89	148	16
90	149	14
91	150	13
92	151	11
93	153	9
94	154	8
95	155	6
96	156	4
97	157	3
98	158	1
99	159	0
