iter	Passed	Remaining
0	148	148235
1	150	75177
2	152	50567
3	153	38248
4	155	30858
5	157	26076
6	158	22542
7	160	19882
8	162	17845
9	164	16276
10	167	15068
11	170	14012
12	172	13101
13	174	12277
14	176	11558
15	178	10962
16	180	10430
17	182	9940
18	183	9498
19	185	9099
20	187	8745
21	189	8410
22	192	8156
23	194	7894
24	195	7641
25	197	7398
26	198	7168
27	200	6955
28	202	6782
29	204	6602
30	207	6478
31	209	6336
32	210	6180
33	212	6043
34	213	5899
35	215	5773
36	216	5647
37	218	5528
38	220	5425
39	221	5325
40	223	5221
41	224	5123
42	225	5027
43	227	4943
44	229	4862
45	230	4779
46	231	4699
47	232	4619
48	234	4555
49	236	4490
50	237	4424
51	239	4361
52	240	4299
53	242	4240
54	243	4187
55	245	4133
56	246	4078
57	249	4044
58	250	3995
59	251	3946
60	252	3893
61	254	3848
62	255	3801
63	257	3764
64	258	3722
65	259	3675
66	260	3632
67	262	3593
68	263	3553
69	264	3516
70	266	3484
71	267	3447
72	269	3416
73	270	3384
74	271	3348
75	272	3316
76	273	3284
77	275	3251
78	276	3219
79	277	3193
80	279	3169
81	280	3140
82	281	3110
83	282	3083
84	284	3057
85	285	3031
86	286	3006
87	287	2981
88	289	2958
89	290	2936
90	291	2914
91	293	2900
92	295	2880
93	297	2863
94	298	2841
95	299	2820
96	300	2801
97	302	2780
98	303	2760
99	304	2741
100	305	2721
101	308	2713
102	309	2697
103	311	2679
104	312	2661
105	313	2644
106	314	2628
107	316	2611
108	317	2595
109	319	2581
110	320	2565
111	322	2556
112	323	2541
113	324	2525
114	326	2509
115	327	2494
116	328	2477
117	329	2463
118	330	2449
119	332	2436
120	333	2424
121	334	2408
122	336	2395
123	337	2383
124	338	2372
125	340	2362
126	341	2348
127	342	2335
128	344	2323
129	345	2309
130	346	2296
131	347	2284
132	348	2273
133	350	2262
134	351	2253
135	353	2244
136	354	2234
137	356	2225
138	357	2216
139	359	2207
140	360	2197
141	361	2185
142	363	2175
143	364	2167
144	366	2160
145	367	2151
146	369	2143
147	370	2134
148	372	2125
149	373	2116
150	374	2108
151	376	2100
152	377	2092
153	379	2083
154	380	2075
155	383	2073
156	385	2072
157	387	2063
158	388	2055
159	389	2046
160	390	2036
161	392	2028
162	393	2020
163	394	2012
164	396	2006
165	398	2000
166	399	1992
167	400	1985
168	402	1978
169	403	1971
170	405	1964
171	406	1957
172	407	1950
173	409	1942
174	410	1934
175	412	1929
176	413	1922
177	414	1916
178	416	1908
179	417	1900
180	418	1893
181	419	1886
182	420	1879
183	422	1872
184	423	1864
185	424	1857
186	426	1854
187	428	1848
188	429	1843
189	431	1837
190	432	1831
191	433	1825
192	435	1819
193	436	1813
194	437	1807
195	439	1801
196	441	1798
197	442	1793
198	444	1788
199	445	1782
200	447	1778
201	448	1772
202	450	1767
203	451	1762
204	452	1756
205	454	1750
206	456	1747
207	457	1742
208	459	1737
209	460	1731
210	462	1727
211	463	1723
212	465	1719
213	466	1714
214	468	1710
215	470	1707
216	471	1701
217	473	1699
218	475	1694
219	477	1691
220	478	1686
221	480	1682
222	481	1678
223	483	1674
224	485	1670
225	487	1669
226	489	1666
227	491	1662
228	492	1658
229	494	1654
230	495	1650
231	497	1646
232	498	1642
233	501	1640
234	503	1639
235	505	1635
236	506	1630
237	507	1625
238	509	1621
239	510	1617
240	512	1613
241	513	1609
242	515	1607
243	517	1604
244	519	1601
245	521	1597
246	522	1593
247	524	1590
248	525	1585
249	527	1581
250	528	1578
251	530	1575
252	532	1573
253	534	1570
254	536	1568
255	538	1564
256	539	1560
257	541	1557
258	542	1553
259	545	1551
260	547	1548
261	548	1544
262	549	1540
263	551	1537
264	553	1534
265	554	1529
266	555	1525
267	557	1522
268	559	1519
269	560	1516
270	562	1513
271	564	1510
272	565	1506
273	567	1503
274	568	1498
275	569	1494
276	571	1490
277	572	1487
278	574	1483
279	575	1479
280	577	1476
281	578	1472
282	579	1469
283	581	1466
284	583	1463
285	584	1459
286	586	1456
287	587	1452
288	589	1451
289	591	1448
290	592	1444
291	594	1441
292	596	1438
293	597	1435
294	599	1432
295	600	1428
296	602	1425
297	604	1423
298	606	1422
299	608	1419
300	609	1416
301	611	1413
302	613	1410
303	614	1406
304	615	1403
305	617	1399
306	618	1395
307	619	1392
308	620	1388
309	621	1384
310	623	1380
311	624	1376
312	625	1373
313	626	1369
314	628	1365
315	629	1361
316	630	1357
317	631	1354
318	632	1350
319	634	1348
320	635	1344
321	637	1342
322	639	1339
323	640	1337
324	642	1335
325	644	1333
326	646	1330
327	648	1327
328	650	1326
329	652	1324
330	653	1321
331	655	1319
332	657	1316
333	658	1313
334	660	1310
335	661	1307
336	662	1303
337	664	1301
338	665	1297
339	667	1295
340	668	1292
341	670	1290
342	672	1288
343	673	1285
344	675	1282
345	677	1279
346	680	1279
347	681	1277
348	683	1275
349	685	1272
350	686	1269
351	688	1266
352	689	1264
353	691	1261
354	693	1259
355	694	1257
356	697	1256
357	699	1253
358	700	1250
359	701	1247
360	702	1243
361	703	1240
362	705	1237
363	707	1235
364	710	1235
365	712	1233
366	714	1232
367	716	1230
368	718	1227
369	719	1225
370	721	1222
371	723	1221
372	724	1218
373	727	1216
374	728	1214
375	730	1211
376	731	1208
377	733	1206
378	734	1203
379	736	1200
380	737	1198
381	739	1196
382	741	1194
383	742	1191
384	744	1188
385	745	1186
386	747	1183
387	748	1180
388	749	1177
389	751	1174
390	752	1172
391	755	1172
392	757	1169
393	758	1167
394	760	1165
395	762	1163
396	764	1160
397	765	1158
398	767	1156
399	770	1155
400	772	1153
401	774	1151
402	775	1148
403	777	1146
404	779	1145
405	780	1142
406	782	1140
407	784	1138
408	786	1136
409	788	1134
410	789	1131
411	790	1128
412	792	1126
413	794	1123
414	795	1121
415	797	1119
416	798	1116
417	800	1114
418	801	1111
419	803	1109
420	804	1106
421	805	1103
422	807	1100
423	808	1098
424	809	1095
425	811	1093
426	812	1090
427	814	1088
428	815	1085
429	817	1083
430	818	1080
431	819	1077
432	820	1074
433	821	1071
434	823	1068
435	824	1066
436	825	1063
437	826	1060
438	828	1058
439	829	1055
440	831	1053
441	832	1051
442	833	1048
443	835	1045
444	836	1043
445	837	1040
446	839	1038
447	840	1035
448	841	1033
449	844	1031
450	846	1029
451	847	1027
452	848	1025
453	850	1022
454	851	1020
455	853	1017
456	854	1015
457	855	1012
458	857	1010
459	858	1008
460	860	1005
461	861	1003
462	863	1001
463	864	998
464	865	995
465	866	993
466	868	990
467	869	988
468	870	985
469	872	983
470	873	981
471	875	978
472	876	976
473	877	973
474	878	971
475	880	968
476	881	966
477	882	964
478	884	961
479	885	959
480	886	956
481	888	954
482	889	952
483	891	950
484	892	948
485	894	945
486	895	943
487	896	940
488	897	938
489	898	935
490	900	933
491	901	930
492	903	928
493	904	926
494	906	924
495	907	922
496	908	919
497	910	917
498	911	915
499	912	912
500	914	910
501	915	908
502	916	905
503	918	903
504	919	901
505	920	898
506	921	896
507	922	893
508	924	891
509	925	888
510	926	886
511	927	884
512	929	882
513	930	879
514	931	877
515	933	875
516	934	872
517	935	870
518	936	868
519	938	865
520	939	863
521	940	861
522	941	858
523	942	856
524	943	853
525	944	851
526	945	848
527	947	847
528	949	844
529	950	842
530	951	840
531	952	838
532	954	835
533	955	833
534	956	831
535	957	829
536	958	826
537	960	824
538	963	823
539	964	821
540	965	819
541	967	817
542	968	815
543	970	813
544	971	810
545	972	808
546	973	806
547	975	804
548	976	802
549	978	800
550	979	797
551	980	795
552	981	793
553	982	791
554	984	789
555	985	786
556	986	784
557	987	782
558	989	780
559	990	778
560	991	775
561	993	773
562	994	771
563	995	769
564	997	767
565	998	765
566	999	763
567	1000	761
568	1001	758
569	1003	756
570	1004	754
571	1006	752
572	1007	750
573	1009	749
574	1010	747
575	1012	745
576	1013	742
577	1014	740
578	1015	738
579	1017	736
580	1018	734
581	1019	732
582	1020	730
583	1022	728
584	1023	726
585	1025	724
586	1026	722
587	1028	720
588	1029	718
589	1030	715
590	1031	713
591	1032	711
592	1033	709
593	1034	707
594	1035	705
595	1037	703
596	1038	700
597	1039	698
598	1040	696
599	1042	694
600	1043	693
601	1045	690
602	1046	688
603	1047	686
604	1048	684
605	1049	682
606	1051	680
607	1052	678
608	1054	676
609	1055	674
610	1056	672
611	1058	670
612	1059	668
613	1060	666
614	1061	664
615	1062	662
616	1063	660
617	1065	658
618	1066	656
619	1068	654
620	1070	653
621	1072	651
622	1073	649
623	1074	647
624	1076	645
625	1077	643
626	1079	642
627	1081	640
628	1083	639
629	1085	637
630	1086	635
631	1087	633
632	1089	631
633	1090	629
634	1091	627
635	1093	625
636	1094	623
637	1096	621
638	1098	620
639	1099	618
640	1101	616
641	1102	614
642	1103	612
643	1105	611
644	1107	609
645	1108	607
646	1111	606
647	1112	604
648	1114	602
649	1116	600
650	1117	599
651	1118	597
652	1120	595
653	1121	593
654	1122	591
655	1125	589
656	1126	588
657	1128	586
658	1129	584
659	1131	582
660	1133	581
661	1134	579
662	1136	577
663	1138	575
664	1140	574
665	1142	572
666	1143	570
667	1145	569
668	1146	567
669	1147	565
670	1149	563
671	1151	561
672	1152	560
673	1155	558
674	1157	557
675	1159	555
676	1161	554
677	1162	552
678	1164	550
679	1165	548
680	1167	546
681	1168	544
682	1169	542
683	1171	540
684	1172	539
685	1174	537
686	1175	535
687	1177	534
688	1179	532
689	1182	531
690	1184	529
691	1186	528
692	1188	526
693	1190	524
694	1191	522
695	1193	521
696	1194	519
697	1195	517
698	1197	515
699	1199	513
700	1200	512
701	1203	510
702	1204	509
703	1206	507
704	1207	505
705	1209	503
706	1210	501
707	1211	499
708	1213	498
709	1215	496
710	1216	494
711	1218	492
712	1219	490
713	1221	489
714	1223	487
715	1224	485
716	1225	483
717	1227	481
718	1228	480
719	1230	478
720	1232	476
721	1234	475
722	1235	473
723	1236	471
724	1237	469
725	1239	467
726	1240	465
727	1242	464
728	1243	462
729	1244	460
730	1246	458
731	1247	456
732	1248	454
733	1250	453
734	1251	451
735	1252	449
736	1253	447
737	1255	445
738	1256	443
739	1257	441
740	1258	440
741	1260	438
742	1261	436
743	1263	434
744	1264	432
745	1265	430
746	1266	429
747	1267	427
748	1269	425
749	1270	423
750	1271	421
751	1273	419
752	1274	418
753	1275	416
754	1277	414
755	1278	412
756	1279	410
757	1281	408
758	1282	407
759	1283	405
760	1284	403
761	1286	401
762	1287	399
763	1288	398
764	1290	396
765	1292	394
766	1293	392
